"compound"	"label"	"case"	"pos"	"head.word"	"head.pos"	"sentence"	"citat"	"text"	"cpdID"	"pos1"	"pos2"	"lemma1"	"lemma2"	"intLabel"	"cpdType"	"endoExo"	"lemma1id"	"lemma2id"	"occID1"	"occID2"	"time.slot"	"veda"	"sakha"	"group"	"register"
"satya-saṃkalpaḥ"	"conj"	"Nom"	"NOUN"	"mayaḥ"	"ADJ"	"manomayaḥ prāṇaśarīro bhārūpaḥ satyasaṃkalpa ākāśātmā sarvakarmā sarvakāmaḥ sarvagandhaḥ sarvarasaḥ sarvam idam abhyātto 'vāky anādaraḥ //"	"ChU, 3, 14, 2"	"Chāndogyopaniṣad"	1931	"NOUN"	"NOUN"	"satya"	"saṃkalpa"	"amod"	"attrib"	"exo"	16633	8830	5276674	5276675	"4-PL"	"SV"	"Kauthuma"	"U"	"prose"
"satya-savasaḥ"	"acl"	"Gen"	"NOUN"	"te"	"PRON"	"tasyās te satyasavasaḥ prasave tanvo yantram aśīya svāhā /"	"VSM, 4, 18"	"Vājasaneyisaṃhitā (Mādhyandina)"	6755	"NOUN"	"NOUN"	"satya"	"savas"	"nmod"	"subord"	"exo"	16633	105324	5017047	5017048	"2-MA"	"White YV"	"Mādhyandina"	"S"	"metrical"
"satya-vacanam"	"conj"	"Nom"	"NOUN"	"brahmacaryam"	"NOUN"	"brahmacaryaṃ satyavacanaṃ savaneṣūdakopasparśanam ārdravastratādhaḥśāyitānāśaka iti tapāṃsi //"	"GautDhS, 3, 1, 15"	"Gautamadharmasūtra"	2393	"NOUN"	"NOUN"	"satya"	"vacana"	"obj"	"subord"	"endo"	16633	67855	3293951	3293952	"5-SU"	"SV"	"None"	"DhS"	"prose"
"śauca-arthāya"	"obl"	"Dat"	"NOUN"	"kalpate"	"VERB"	"tad yathā kumbhe loṣṭaḥ prakṣipto naiva śaucārthāya kalpate naiva śasyaṃ nirvartayaty evam evāyaṃ brāhmaṇo 'nagnikas tasya brāhmaṇasyānagnikasya naiva daivaṃ dadyān na pitryaṃ na cāsya svādhyāyāśiṣo na yajñāśiṣaḥ svargaṃgamā bhavanti //"	"GB, 1, 2, 23, 4"	"Gopathabrāhmaṇa"	5708	"NOUN"	"NOUN"	"śauca"	"artha"	"nmod"	"subord"	"endo"	127850	53136	4930106	4930107	"4-PL"	"AV"	"Paippalāda"	"B"	"prose"
"śava-agninā"	"obl"	"Ins"	"NOUN"	"saṃsṛjyeran"	"VERB"	"tad āhur yasyāgnayaḥ śavāgninā saṃsṛjyeran kā tatra prāyaścittir iti so 'gnaye śucaye 'ṣṭākapālam puroﾱāśaṃ nirvapet tasya yājyānuvākye agniḥ śucivratatama ud agne śucayas tavety āhutiṃ vāhavanīye juhuyād agnaye śucaye svāheti sā tatra prāyaścittiḥ //"	"AB, 7, 7, 3"	"Aitareyabrāhmaṇa"	4937	"NOUN"	"NOUN"	"śava"	"agni"	"nmod"	"subord"	"endo"	131063	5705	4927533	4927534	"4-PL"	"RV"	"Āśvalāyana"	"B"	"prose"
"sāvitrī-adhyayanāt"	"obl"	"Abl"	"NOUN"	"upanītaḥ"	"VERB"	"niṣekād ā jātakātsaṃskṛtāyāṃ brāhmaṇyāṃ brāhmaṇājjātamātraḥ putramātra upanītaḥ sāvitryadhyayanād brāhmaṇaḥ //"	"VaikhGṛS, 1, 1, 6"	"Vaikhānasagṛhyasūtra"	504	"NOUN"	"NOUN"	"sāvitrī"	"adhyayana"	"nmod"	"subord"	"endo"	113364	9586	5441793	5441794	"5-SU"	"Black YV"	"Taittirīya"	"GS"	"prose"
"sāvitrī-ante"	"root"	"Loc"	"NOUN"			"aśvāpadījyā carubhiḥ sāvitryante //"	"KātyŚS, 20, 3, 12"	"Kātyāyanaśrautasūtra"	6263	"NOUN"	"NOUN"	"sāvitrī"	"anta"	"nmod"	"subord"	"endo"	113364	11658	5416373	5416374	"5-SU"	"White YV"	"Mādhyandina"	"ŚS"	"prose"
"sāvitrī-anuvacanam"	"root"	"Nom"	"NOUN"			"vyāhṛtibhir hutvā śiṣyāṇāṃ sāvitryanuvacanaṃ yathopanayane //"	"GobhGS, 3, 3, 2"	"Gobhilagṛhyasūtra"	403	"NOUN"	"NOUN"	"sāvitrī"	"anuvacana"	"obj"	"subord"	"endo"	113364	11275	5181512	5181513	"5-SU"	"SV"	"Kauthuma"	"GS"	"prose"
"sāyamāhuti-kāle"	"orphan"	"Loc"	"NOUN"	"prātarāhutim"	"NOUN"	"prātarāhutiṃ caike sāyamāhutikāle 'tyayān manyante //"	"ŚāṅkhGS, 1, 3, 8"	"Śāṅkhāyanagṛhyasūtra"	1464	"NOUN"	"NOUN"	"sāyamāhuti"	"kāla"	"nmod"	"subord"	"endo"	112902	22761	5019678	5019679	"5-SU"	"RV"	"Śāṅkhāyana"	"GS"	"prose"
"sāyamāhuti-saṃskāraḥ"	"nsubj"	"Nom"	"NOUN"	"pratyayaḥ"	"NOUN"	"sāyamāhutisaṃskāro 'dhvaryupratyaya ity ācāryāḥ //"	"ŚāṅkhGS, 1, 1, 10"	"Śāṅkhāyanagṛhyasūtra"	1437	"NOUN"	"NOUN"	"sāyamāhuti"	"saṃskāra"	"nmod"	"subord"	"endo"	112902	8368	5019494	5019495	"5-SU"	"RV"	"Śāṅkhāyana"	"GS"	"prose"
"sāyamāhuti-upakramaḥ"	"acl"	"Nom"	"NOUN"	"homaḥ"	"NOUN"	"sāyamāhutyupakrama evāta ūrdhvaṃ gṛhye 'gnau homo vidhīyate //"	"GobhGS, 1, 1, 23"	"Gobhilagṛhyasūtra"	283	"NOUN"	"NOUN"	"sāyamāhuti"	"upakrama"	"nmod"	"subord"	"exo"	112902	44811	5176490	5176491	"5-SU"	"SV"	"Kauthuma"	"GS"	"prose"
"sāyamāhuti-upakramam"	"root"	"Nom"	"NOUN"			"sāyamāhutyupakramaṃ paricaraṇam //"	"KhādGS, 1, 5, 6"	"Khādiragṛhyasūtra"	900	"NOUN"	"NOUN"	"sāyamāhuti"	"upakrama"	"nmod"	"subord"	"exo"	112902	44811	4994963	4994964	"5-SU"	"SV"	"Rāṇāyanīya"	"GS"	"prose"
"sāyamāśa-prātarāśe"	"nsubj"	"Loc"	"NOUN"	"niṣṭhite"	"VERB"	"niṣṭhite sāyamāśaprātarāśe bhūtam iti pravācayet //"	"GobhGS, 1, 3, 16"	"Gobhilagṛhyasūtra"	305	"NOUN"	"NOUN"	"sāyamāśa"	"prātarāśa"	"compound"	"coord"	"endo"	112901	171644	280214	280215	"5-SU"	"SV"	"Kauthuma"	"GS"	"prose"
"śayyā-āsane"	"obl"	"Loc"	"NOUN"	"āviśet"	"VERB"	"śayyāsane cācarite nāviśet //"	"ĀpDhS, 1, 8, 11"	"Āpastambadharmasūtra"	7591	"NOUN"	"NOUN"	"śayyā"	"āsana"	"compound"	"coord"	"endo"	116789	62866	5397636	5397637	"5-SU"	"Black YV"	"Taittirīya"	"DhS"	"prose"
"śayyā-kāle"	"obl"	"Loc"	"NOUN"	"parigṛhṇīyāt"	"VERB"	"śvobhūte uttarayotthāpyottarābhis tisṛbhir abhimantryottarayā praticchannāṃ hastayor ābadhya śayyākāle bāhubhyāṃ bhartāraṃ parigṛhṇīyād upadhānaliṅgayā //"	"ĀpGS, 9, 6"	"Āpastambagṛhyasūtra"	1143	"NOUN"	"NOUN"	"śayyā"	"kāla"	"nmod"	"subord"	"endo"	116789	22761	3034403	3034404	"5-SU"	"Black YV"	"Taittirīya"	"GS"	"prose"
"sic-vātam"	"conj"	"Acc"	"NOUN"	"vanaspatim"	"NOUN"	"evam uttarair yathāliṅgaṃ citriyaṃ vanaspatiṃ śakṛdrītiṃ sigvātaṃ śakunim iti //"	"ĀpGS, 9, 3"	"Āpastambagṛhyasūtra"	1136	"NOUN"	"NOUN"	"sic"	"vāta"	"nmod"	"subord"	"endo"	105868	75767	5304260	5304261	"5-SU"	"Black YV"	"Taittirīya"	"GS"	"prose"
"sidhraka-musalena"	"obl"	"Ins"	"NOUN"	"hanti"	"VERB"	"sidhrakamusalenainaṃ hanti //"	"KātyŚS, 20, 1, 40"	"Kātyāyanaśrautasūtra"	6237	"NOUN"	"NOUN"	"sidhraka"	"musala"	"nmod"	"subord"	"endo"	106284	137486	5415592	5415593	"5-SU"	"White YV"	"Mādhyandina"	"ŚS"	"prose"
"sīdhu-pānam"	"conj"	"Nom"	"NOUN"	"vikrayaḥ"	"NOUN"	"athottarata ūrṇāvikrayaḥ sīdhupānam ubhayato dadbhir vyavahāra āyudhīyakaṃ samudrasaṃyānam iti //"	"BaudhDhSū, 1, 2, 4"	"Baudhāyanadharmasūtra"	2596	"NOUN"	"NOUN"	"sīdhu"	"pāna"	"obj"	"subord"	"endo"	106503	92905	2800663	2800664	"5-SU"	"Black YV"	"Taittirīya"	"DhS"	"prose"
"śikhā-jaṭaḥ"	"advcl"	"Nom"	"NOUN"	"vāpayet"	"VERB"	"śikhājaṭo vā vāpayed itarān //"	"ĀpDhS, 1, 2, 32"	"Āpastambadharmasūtra"	7471	"NOUN"	"NOUN"	"śikhā"	"jaṭā"	"nmod"	"subord"	"exo"	131625	87335	5394622	5394623	"5-SU"	"Black YV"	"Taittirīya"	"DhS"	"prose"
"śīkṣā-adhyāyaḥ"	"nsubj"	"Nom"	"NOUN"	"uktaḥ"	"VERB"	"ityuktaḥ śīkṣādhyāyaḥ //"	"TU, 1, 2, 1"	"Taittirīyopaniṣad"	4137	"NOUN"	"NOUN"	"śīkṣā"	"adhyāya"	"nmod"	"subord"	"endo"	123457	9595	4486197	4486198	"4-PL"	"Black YV"	"Taittirīya"	"U"	"prose"
"śikya-pāśam"	"obj"	"Acc"	"NOUN"	"pratimuñcate"	"VERB"	"viśvā rūpāṇīti śikyapāśaṃ pratimuñcate //"	"ĀpŚS, 16, 10, 10"	"Āpastambaśrautasūtra"	6059	"NOUN"	"NOUN"	"śikya"	"pāśa"	"nmod"	"subord"	"endo"	132530	94501	5036430	5036431	"5-SU"	"Black YV"	"Taittirīya"	"ŚS"	"prose"
"śikya-pāśam"	"obj"	"Acc"	"NOUN"			"ud uttamam iti śikyapāśam unmucyā tvāhārṣam ity āhṛtyopatiṣṭhate 'gre bṛhann uṣasām ūrdhvo asthād iti //"	"ĀpŚS, 16, 10, 14"	"Āpastambaśrautasūtra"	6060	"NOUN"	"NOUN"	"śikya"	"pāśa"	"nmod"	"subord"	"endo"	132530	94501	5036472	5036473	"5-SU"	"Black YV"	"Taittirīya"	"ŚS"	"prose"
"silāñjālā-agrāṇi"	"obj"	"Acc"	"NOUN"	"nikhanati"	"VERB"	"trīṇi silāñjālāgrāṇyurvarāmadhye nikhanati //"	"KauśS, 7, 2, 16"	"Kauśikasūtra"	154	"NOUN"	"NOUN"	"silāñjālā"	"agra"	"nmod"	"subord"	"endo"	106434	5937	4802581	4802582	"5-SU"	"AV"	"Śaunaka"	"GS"	"prose"
"siṃha-pratīkaḥ"	"advcl"	"Nom"	"NOUN"	"addhi"	"VERB"	"siṃhapratīko viśo addhi sarvā vyāghrapratīko 'va bādhasva śatrūn /"	"AVŚ, 4, 22, 7"	"Atharvaveda (Śaunaka)"	4338	"NOUN"	"NOUN"	"siṃha"	"pratīka"	"nmod"	"subord"	"exo"	113531	140377	4518854	4518855	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"sīra-yogam"	"orphan"	"Acc"	"NOUN"	"avasiñcati"	"VERB"	"namas te lāṅgalebhya iti sīrayogam adhiśiro 'vasiñcati //"	"KauśS, 4, 3, 1"	"Kauśikasūtra"	101	"NOUN"	"NOUN"	"sīra"	"yoga"	"nmod"	"subord"	"endo"	106563	65008	4780924	4780925	"5-SU"	"AV"	"Śaunaka"	"GS"	"prose"
"śiraḥ-grīvam"	"nsubj"	"Nom"	"NOUN"	"samānam"	"ADJ"	"śiro vā etad yajñasya yad ātithyaṃ grīvā upasadaḥ samānabarhiṣī bhavataḥ samānaṃ hi śirogrīvam //"	"AB, 1, 25, 1"	"Aitareyabrāhmaṇa"	4751	"NOUN"	"NOUN"	"śiras"	"grīvā"	"compound"	"coord"	"endo"	131805	156987	4630016	4630017	"3-PO"	"RV"	"Āśvalāyana"	"B"	"prose"
"śīrṣa-kapāle"	"obj"	"Acc"	"NOUN"	"vyapohya"	"VERB"	"yatrāsau keśānto vivartate vyapohya śīrṣakapāle bhūrityagnau pratitiṣṭhati bhuva iti vāyau //"	"TU, 1, 6, 1"	"Taittirīyopaniṣad"	4148	"NOUN"	"NOUN"	"śīrṣa"	"kapāla"	"nmod"	"subord"	"endo"	126206	1752	5033283	5033284	"4-PL"	"Black YV"	"Taittirīya"	"U"	"prose"
"śīrṣa-kapāle"	"root"	"Nom"	"NOUN"			"ahorātre nāsike ditiś cāditiś ca śīrṣakapāle saṃvatsaraḥ śiraḥ //"	"AVŚ, 15, 18, 4"	"Atharvaveda (Śaunaka)"	4552	"NOUN"	"NOUN"	"śīrṣa"	"kapāla"	"nmod"	"subord"	"endo"	126206	1752	4967468	4967469	"3-PO"	"AV"	"Śaunaka"	"S"	"prose"
"śīrṣa-āmayam"	"nmod"	"Acc"	"NOUN"	"sarvam"	"ADJ"	"śīrṣāmayam upahatyām akṣyos tanvo rapaḥ /"	"AVŚ, 5, 4, 10"	"Atharvaveda (Śaunaka)"	4371	"NOUN"	"NOUN"	"śīrṣan"	"āmaya"	"nmod"	"subord"	"endo"	123649	58956	4542473	4542474	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"sītā-goptṛbhyaḥ"	"iobj"	"Dat"	"ADJ"	"harati"	"VERB"	"staraṇaśeṣaṣu sītāgoptṛbhyo baliṃ harati purastādye ta āsate sudhanvāno niṣaṅgiṇaḥ /"	"PārGS, 2, 17, 13"	"Pāraskaragṛhyasūtra"	738	"NOUN"	"NOUN"	"sītā"	"goptṛ"	"nmod"	"subord"	"endo"	106472	125484	5220913	5220914	"5-SU"	"White YV"	"Mādhyandina"	"GS"	"prose"
"sītā-yajñaḥ"	"root"	"Nom"	"NOUN"			"atha sītāyajñaḥ //"	"PārGS, 2, 17, 1"	"Pāraskaragṛhyasūtra"	726	"NOUN"	"NOUN"	"sītā"	"yajña"	"nmod"	"subord"	"endo"	106472	72936	5220774	5220775	"5-SU"	"White YV"	"Mādhyandina"	"GS"	"prose"
"śmaśāna-abhyadhyayane"	"orphan"	"Loc"	"NOUN"	"evam"	"ADV"	"śmaśānābhyadhyayane caivam //"	"GautDhS, 1, 1, 64"	"Gautamadharmasūtra"	2297	"NOUN"	"NOUN"	"śmaśāna"	"abhyadhyayana"	"obl"	"subord"	"endo"	127525	211011	2744204	2744205	"5-SU"	"SV"	"None"	"DhS"	"prose"
"śmaśāna-loṣṭam"	"conj"	"Acc"	"NOUN"	"bījāni"	"NOUN"	"nānābījāni saṃsṛṣṭāni vedyāḥ pāṃsūn kṣetrāl loṣṭaṃ śakṛcchmaśānaloṣṭam iti //"	"ĀpGS, 3, 16"	"Āpastambagṛhyasūtra"	1084	"NOUN"	"NOUN"	"śmaśāna"	"loṣṭa"	"obl"	"subord"	"endo"	127525	67216	5281735	5281736	"5-SU"	"Black YV"	"Taittirīya"	"GS"	"prose"
"smṛti-śīle"	"conj"	"Nom"	"NOUN"	"vedaḥ"	"NOUN"	"tadvidāṃ ca smṛtiśīle //"	"GautDhS, 1, 1, 2"	"Gautamadharmasūtra"	2246	"NOUN"	"NOUN"	"smṛti"	"śīla"	"compound"	"coord"	"endo"	114062	126217	2743908	2743909	"5-SU"	"SV"	"None"	"DhS"	"prose"
"snāna-śabde"	"orphan"	"Loc"	"NOUN"	"śirasam"	"NOUN"	"sahaśirasaṃ snānaśabde //"	"KhādGS, 1, 1, 16"	"Khādiragṛhyasūtra"	853	"NOUN"	"NOUN"	"snāna"	"śabda"	"nmod"	"attrib"	"endo"	103343	116648	4993461	4993462	"5-SU"	"SV"	"Rāṇāyanīya"	"GS"	"prose"
"snāna-vidhiḥ"	"root"	"Nom"	"NOUN"			"atha cāturāśramiṇāṃ snānavidhiḥ //"	"VaikhGṛS, 1, 2, 1"	"Vaikhānasagṛhyasūtra"	512	"NOUN"	"NOUN"	"snāna"	"vidhi"	"nmod"	"subord"	"endo"	103343	122846	5441854	5441855	"5-SU"	"Black YV"	"Taittirīya"	"GS"	"prose"
"soma-āhutibhiḥ"	"conj"	"Ins"	"NOUN"	"tarpayati"	"VERB"	"yad ṛco 'dhīte payaāhutibhir eva tad devāṃs tarpayati yad yajūṃṣi ghṛtāhutibhir yat sāmāni somāhutibhir yad atharvāṅgiraso madhvāhutibhir yad brāhmaṇānītihāsān purāṇāni kalpān gāthā nārāśaṃsīr medāhutibhir eva tad devāṃs tarpayati ta enaṃ tṛptā āyuṣā tejasā varcasā śriyā yaśasā brahmavarcasenānnādyena ca tarpayanti //"	"TĀ, 2, 10, 8"	"Taittirīyāraṇyaka"	7264	"NOUN"	"NOUN"	"soma"	"āhuti"	"nmod"	"subord"	"endo"	100106	63117	5283687	5283688	"4-PL"	"Black YV"	"Taittirīya"	"Ā"	"prose"
"soma-āhutiḥ"	"nsubj"	"Nom"	"NOUN"	"āhutiḥ"	"NOUN"	"sā vā eṣāmṛtāhutir eva yad vapāhutir amṛtāhutir agnyāhutir amṛtāhutir ājyāhutir amṛtāhutiḥ somāhutir etā vā aśarīrā āhutayo yā vai kāścāśarīrā āhutayo 'mṛtatvam eva tābhir yajamāno jayati //"	"AB, 2, 14, 1"	"Aitareyabrāhmaṇa"	4860	"NOUN"	"NOUN"	"soma"	"āhuti"	"nmod"	"subord"	"endo"	100106	63117	4697868	4697869	"3-PO"	"RV"	"Āśvalāyana"	"B"	"prose"
"soma-āhutim"	"obj"	"Acc"	"NOUN"	"juhavāma"	"VERB"	"te 'bruvan somāhutiṃ juhavāma tayainaṃ jigīṣāmeti //"	"JB, 1, 13, 1"	"Jaiminīyabrāhmaṇa"	5106	"NOUN"	"NOUN"	"soma"	"āhuti"	"nmod"	"subord"	"endo"	100106	63117	4826741	4826742	"4-PL"	"SV"	"Jaiminīya"	"B"	"prose"
"soma-āhutim"	"obj"	"Acc"	"NOUN"	"ajuhavuḥ"	"VERB"	"te somāhutim ajuhavuḥ //"	"JB, 1, 13, 4"	"Jaiminīyabrāhmaṇa"	5107	"NOUN"	"NOUN"	"soma"	"āhuti"	"nmod"	"subord"	"endo"	100106	63117	4826754	4826755	"4-PL"	"SV"	"Jaiminīya"	"B"	"prose"
"soma-āhutim"	"obj"	"Acc"	"NOUN"	"juhvati"	"VERB"	"tasmād yatra somāhutiṃ juhvaty aṅgārā eva bhavanti //"	"JB, 1, 13, 6"	"Jaiminīyabrāhmaṇa"	5108	"NOUN"	"NOUN"	"soma"	"āhuti"	"nmod"	"subord"	"endo"	100106	63117	4826762	4826763	"4-PL"	"SV"	"Jaiminīya"	"B"	"prose"
"soma-āhutim"	"obj"	"Acc"	"NOUN"	"juhoti"	"VERB"	"atha yat somāhutiṃ juhoti yathā jitvā prajayet tādṛk tat //"	"JB, 1, 13, 9"	"Jaiminīyabrāhmaṇa"	5112	"NOUN"	"NOUN"	"soma"	"āhuti"	"nmod"	"subord"	"endo"	100106	63117	4826796	4826797	"4-PL"	"SV"	"Jaiminīya"	"B"	"prose"
"soma-āhutiḥ"	"root"	"Nom"	"NOUN"			"sā prathamā somāhutiḥ //"	"KauṣB, 2, 2, 12"	"Kauṣītakibrāhmaṇa"	6631	"NOUN"	"NOUN"	"soma"	"āhuti"	"nmod"	"subord"	"endo"	100106	63117	4973386	4973387	"4-PL"	"RV"	"Śāṅkhāyana"	"B"	"prose"
"soma-aṃśavaḥ"	"nsubj"	"Nom"	"NOUN"	"upastaraṇam"	"NOUN"	"somāṃśavaḥ upastaraṇam //"	"ŚāṅkhĀ, 3, 5, 22"	"Śāṅkhāyanāraṇyaka"	2970	"NOUN"	"NOUN"	"soma"	"aṃśu"	"nmod"	"subord"	"endo"	100106	26	4018800	4018801	"4-PL"	"RV"	"Śāṅkhāyana"	"Ā"	"prose"
"soma-ijyā"	"nsubj"	"Nom"	"NOUN"	"upanamet"	"VERB"	"somejyā mopanamed iti //"	"JaimGS, 1, 19, 16"	"Jaiminigṛhyasūtra"	613	"NOUN"	"NOUN"	"soma"	"ijyā"	"nmod"	"subord"	"endo"	100106	63287	1299654	1299655	"5-SU"	"SV"	"Jaiminīya"	"GS"	"prose"
"soma-pālaḥ"	"acl"	"Nom"	"NOUN"	"kṛśānuḥ"	"NOUN"	"tasyā anuvisṛjya kṛśānuḥ somapālaḥ savyasya pado nakham achidat tacchalyako 'bhavat tasmāt sa nakham iva yad vaśam asravat sā vaśābhavat tasmāt sā havir ivātha yaḥ śalyo yad anīkam āsīt sa sarpo nirdaṃśy abhavat sahasaḥ svajo yāni parṇāni te manthāvalā yāni snāvāni te gaṇḍūpadā yat tejanaṃ so 'ndhāhiḥ so sā tatheṣur abhavat //"	"AB, 3, 26, 3"	"Aitareyabrāhmaṇa"	4906	"NOUN"	"NOUN"	"soma"	"pāla"	"obj"	"subord"	"endo"	100106	94398	4812151	4812152	"3-PO"	"RV"	"Āśvalāyana"	"B"	"prose"
"soma-pānam"	"conj"	"Nom"	"NOUN"	"tā"	"NOUN"	"payovratatā śākabhakṣatā phalabhakṣatā prasṛtayāvako hiraṇyaprāśanaṃ ghṛtaprāśanaṃ somapānam iti medhyāni //"	"GautDhS, 3, 1, 13"	"Gautamadharmasūtra"	2390	"NOUN"	"NOUN"	"soma"	"pāna"	"nmod"	"subord"	"endo"	100106	92905	3293865	3293866	"5-SU"	"SV"	"None"	"DhS"	"prose"
"soma-patim"	"obj"	"Acc"	"NOUN"	"vaha"	"VERB"	"athā vaha somapatiṃ haribhyām ātithyam asmai cakṛmā sudāvne //"	"ṚV, 1, 76, 3"	"Ṛgveda"	3088	"NOUN"	"NOUN"	"soma"	"pati"	"nmod"	"subord"	"endo"	100106	163749	4416969	4416970	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"soma-pate"	"vocative"	"Voc"	"NOUN"	"piba"	"VERB"	"ā yāhy adribhiḥ sutaṃ somaṃ somapate piba /"	"ṚV, 5, 40, 1"	"Ṛgveda"	3407	"NOUN"	"NOUN"	"soma"	"pati"	"nmod"	"subord"	"endo"	100106	163749	4452267	4452268	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"soma-peyāya"	"advcl"	"Dat"	"NOUN"	"yāhi"	"VERB"	"ā no diva ā pṛthivyā ṛjīṣinn idam barhiḥ somapeyāya yāhi /"	"ṚV, 7, 24, 3"	"Ṛgveda"	3539	"NOUN"	"NOUN"	"soma"	"peya"	"obj"	"subord"	"endo"	100106	150911	4609094	4609095	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"soma-pīthaḥ"	"nsubj"	"Nom"	"NOUN"	"anusṛṣṭaḥ"	"VERB"	"anusṛṣṭa iva hy etasya somapītho yasya pitā pitāmahaḥ somaṃ na pibati //"	"MS, 2, 5, 5, 23"	"Maitrāyaṇīsaṃhitā"	5523	"NOUN"	"NOUN"	"soma"	"pītha"	"nmod"	"subord"	"endo"	100106	144304	5024501	5024502	"3-PO"	"Black YV"	"Maitrāyaṇa"	"S"	"prose"
"soma-pītham"	"obj"	"Acc"	"NOUN"	"icchet"	"VERB"	"yaḥ somapītham icchet prayājāhutibhir udaṅ sa iyād uttarā ha vai somo rājā //"	"AB, 1, 8, 7"	"Aitareyabrāhmaṇa"	4666	"NOUN"	"NOUN"	"soma"	"pītha"	"nmod"	"subord"	"endo"	100106	144304	4614366	4614367	"3-PO"	"RV"	"Āśvalāyana"	"B"	"prose"
"soma-pītham"	"obj"	"Acc"	"NOUN"	"āpnoti"	"VERB"	"pra somapītham āpnoti ya evaṃ vidvān udaṅṅ eti //"	"AB, 1, 8, 8"	"Aitareyabrāhmaṇa"	4668	"NOUN"	"NOUN"	"soma"	"pītha"	"nmod"	"subord"	"endo"	100106	144304	4614378	4614379	"3-PO"	"RV"	"Āśvalāyana"	"B"	"prose"
"soma-pītham"	"obj"	"Acc"	"NOUN"	"aicchanta"	"VERB"	"te deveṣu somapītham aicchanta /"	"TS, 6, 3, 1, 3"	"Taittirīyasaṃhitā"	6462	"NOUN"	"NOUN"	"soma"	"pītha"	"nmod"	"subord"	"endo"	100106	144304	5233013	5233014	"3-PO"	"Black YV"	"Taittirīya"	"S"	"prose"
"soma-pītham"	"obj"	"Acc"	"NOUN"	"prāpnuvan"	"VERB"	"teṣāṃ ye nediṣṭham paryaviśan te somapītham prāpnuvann āhavanīya āgnīdhrīyo hotrīyo mārjālīyaḥ /"	"TS, 6, 3, 1, 3"	"Taittirīyasaṃhitā"	6464	"NOUN"	"NOUN"	"soma"	"pītha"	"nmod"	"subord"	"endo"	100106	144304	5233041	5233042	"3-PO"	"Black YV"	"Taittirīya"	"S"	"prose"
"soma-pīthena"	"obl"	"Ins"	"NOUN"	"vyārdhyanta"	"VERB"	"te somapīthena vyārdhyanta /"	"TS, 6, 3, 1, 3"	"Taittirīyasaṃhitā"	6461	"NOUN"	"NOUN"	"soma"	"pītha"	"nmod"	"subord"	"endo"	100106	144304	5233008	5233009	"3-PO"	"Black YV"	"Taittirīya"	"S"	"prose"
"soma-pīthena"	"obl"	"Ins"	"NOUN"	"ārdhyanta"	"VERB"	"ete somapīthenārdhyanta /"	"TS, 6, 3, 1, 4"	"Taittirīyasaṃhitā"	6465	"NOUN"	"NOUN"	"soma"	"pītha"	"nmod"	"subord"	"endo"	100106	144304	5233199	5233200	"3-PO"	"Black YV"	"Taittirīya"	"S"	"prose"
"soma-pītham"	"obj"	"Acc"	"NOUN"	"abhijigyuḥ"	"VERB"	"te hotthāpyamānā ruruvire ye tebhyo bhūtavīrebhyo 'sitamṛgāḥ kaśyapānāṃ somapītham abhijigyuḥ pārikṣitasya janamejayasya vikaśyape yajñe tais te tatra vīravanta āsuḥ kaḥ svit so 'smāko 'sti vīro ya imaṃ somapītham abhijeṣyatīti //"	"AB, 7, 27, 2"	"Aitareyabrāhmaṇa"	5019	"NOUN"	"NOUN"	"soma"	"pītha"	"obj"	"subord"	"endo"	100106	144304	4938156	4938157	"4-PL"	"RV"	"Āśvalāyana"	"B"	"prose"
"soma-pītham"	"obj"	"Acc"	"NOUN"	"abhijeṣyati"	"VERB"	"te hotthāpyamānā ruruvire ye tebhyo bhūtavīrebhyo 'sitamṛgāḥ kaśyapānāṃ somapītham abhijigyuḥ pārikṣitasya janamejayasya vikaśyape yajñe tais te tatra vīravanta āsuḥ kaḥ svit so 'smāko 'sti vīro ya imaṃ somapītham abhijeṣyatīti //"	"AB, 7, 27, 2"	"Aitareyabrāhmaṇa"	5019	"NOUN"	"NOUN"	"soma"	"pītha"	"obj"	"subord"	"endo"	100106	144304	4938175	4938176	"4-PL"	"RV"	"Āśvalāyana"	"B"	"prose"
"soma-pītham"	"obj"	"Acc"	"NOUN"	"āpnoti"	"VERB"	"eṣa ha vāva kṣatriyaḥ svād bhakṣān naiti yo nyagrodhasyāvarodhāṃś ca phalāni ca bhakṣayaty upāha parokṣeṇaiva somapītham āpnoti nāsya pratyakṣam bhakṣito bhavati parokṣam iva ha vā eṣa somo rājā yan nyagrodhaḥ parokṣam ivaiṣa brahmaṇo rūpam upanigacchati yat kṣatriyaḥ purodhayaiva dīkṣayaiva pravareṇaiva //"	"AB, 7, 31, 2"	"Aitareyabrāhmaṇa"	5041	"NOUN"	"NOUN"	"soma"	"pītha"	"obj"	"subord"	"endo"	100106	144304	4939762	4939763	"4-PL"	"RV"	"Āśvalāyana"	"B"	"prose"
