"compound"	"label"	"case"	"pos"	"head.word"	"head.pos"	"sentence"	"citat"	"text"	"cpdID"	"pos1"	"pos2"	"lemma1"	"lemma2"	"intLabel"	"cpdType"	"endoExo"	"lemma1id"	"lemma2id"	"occID1"	"occID2"	"time.slot"	"veda"	"sakha"	"group"	"register"
"īśa-anīśau"	"nmod"	"Nom"	"ADJ"	"ajñau"	"ADJ"	"jñājñau dvāv ajāv īśānīśāv ajā hyekā bhoktṛbhogārthayuktā /"	"ŚvetU, 1, 9"	"Śvetāśvataropaniṣad"	2071	"ADJ"	"ADJ"	"īśa"	"anīśa"	"compound"	"coord"	"endo"	64069	10650	4863860	4863861	"5-SU"	"Black YV"	"None"	"U"	"metrical"
"jña-ajñau"	"nsubj"	"Nom"	"ADJ"	"ajau"	"ADJ"	"jñājñau dvāv ajāv īśānīśāv ajā hyekā bhoktṛbhogārthayuktā /"	"ŚvetU, 1, 9"	"Śvetāśvataropaniṣad"	2070	"ADJ"	"ADJ"	"jña"	"ajña"	"compound"	"coord"	"endo"	89602	6602	2520533	2520534	"5-SU"	"Black YV"	"None"	"U"	"metrical"
"kaṇṭaki-kṣīriṇaḥ"	"obj"	"Acc"	"ADJ"	"parikhāya"	"VERB"	"kaṇṭakikṣīriṇas tu samūlān parikhāya udvāsayet //"	"ĀśvGS, 2, 7, 5"	"Āśvalāyanagṛhyasūtra"	1338	"ADJ"	"ADJ"	"kaṇṭakin"	"kṣīrin"	"compound"	"coord"	"endo"	1042	135521	5008629	5008630	"5-SU"	"RV"	"Āśvalāyana"	"GS"	"prose"
"kṛṣṇa-lalāmam"	"obj"	"Acc"	"ADJ"	"ālabheta"	"VERB"	"āśvinaṃ kṛṣṇalalāmam ālabheta //"	"MS, 2, 5, 6, 38"	"Maitrāyaṇīsaṃhitā"	5539	"ADJ"	"ADJ"	"kṛṣṇa"	"lalāma"	"compound"	"coord"	"endo"	4072	81108	5024935	5024936	"3-PO"	"Black YV"	"Maitrāyaṇa"	"S"	"prose"
"kṛṣṇa-lalāmam"	"obj"	"Acc"	"ADJ"	"ālabheta"	"VERB"	"āśvinaṃ kṛṣṇalalāmam ālabheta //"	"MS, 2, 5, 6, 48"	"Maitrāyaṇīsaṃhitā"	5540	"ADJ"	"ADJ"	"kṛṣṇa"	"lalāma"	"compound"	"coord"	"endo"	4072	81108	5025018	5025019	"3-PO"	"Black YV"	"Maitrāyaṇa"	"S"	"prose"
"kṛṣṇa-śabalī"	"ccomp"	"Nom"	"ADJ"	"āhuḥ"	"VERB"	"kṛṣṇaśabalīty atha yā vipruṣā āsaṃs tānīmāny anyāni rūpāṇi //"	"MS, 2, 5, 7, 20"	"Maitrāyaṇīsaṃhitā"	5543	"ADJ"	"ADJ"	"kṛṣṇa"	"śabala"	"compound"	"coord"	"endo"	4072	116643	5025457	5025458	"3-PO"	"Black YV"	"Maitrāyaṇa"	"S"	"prose"
"kṛṣṇa-śabalīm"	"obj"	"Acc"	"ADJ"	"ālabheta"	"VERB"	"bhaumīṃ kṛṣṇaśabalīm ālabhetānnakāmaḥ //"	"MS, 2, 5, 7, 65"	"Maitrāyaṇīsaṃhitā"	5554	"ADJ"	"ADJ"	"kṛṣṇa"	"śabala"	"compound"	"coord"	"endo"	4072	116643	5025696	5025697	"3-PO"	"Black YV"	"Maitrāyaṇa"	"S"	"prose"
"kṛṣṇa-sāraṅgam"	"conj"	"Acc"	"ADJ"	"kṛṣṇam"	"ADJ"	"kṛṣṇasāraṅgaṃ vā //"	"KātyŚS, 20, 1, 36"	"Kātyāyanaśrautasūtra"	6235	"ADJ"	"ADJ"	"kṛṣṇa"	"sāraṅga"	"compound"	"coord"	"endo"	4072	113048	5415571	5415572	"5-SU"	"White YV"	"Mādhyandina"	"ŚS"	"prose"
"kṣāra-lavaṇe"	"obj"	"Acc"	"ADJ"	"_"	"VERB"	"trirātraṃ kṣāralavaṇe dugdham iti varjayantau saha śayīyātāṃ brahmacāriṇau //"	"KhādGS, 1, 4, 9"	"Khādiragṛhyasūtra"	893	"ADJ"	"ADJ"	"kṣāra"	"lavaṇa"	"compound"	"coord"	"endo"	135427	81155	4992353	4992354	"5-SU"	"SV"	"Rāṇāyanīya"	"GS"	"prose"
"kṣudra-miśrāni"	"acl"	"Nom"	"ADJ"	"bījāni"	"NOUN"	"imāni ca pañca mahābhūtāni pṛthivī vāyur ākāśa āpo jyotīṃṣīty etānīmāni kṣudramiśrāṇīva bījānītarāṇi cetarāṇi cāṇḍajāni ca jārujāni ca svedajāni codbhijjāni cāśvā gāvaḥ puruṣā hastino yat kiñcedam prāṇi jaṅgamaṃ ca patatri ca yac ca sthāvaram /"	"AU, 3, 3, 1"	"Aitareyopaniṣad"	2685	"ADJ"	"ADJ"	"kṣudra"	"miśra"	"obl"	"subord"	"endo"	135530	136760	3560126	3560127	"4-PL"	"RV"	"Āśvalāyana"	"U"	"prose"
